player,age,minutes_90s,team,position,tackles,interceptions,club,goals_assists_per90,passes_pct,dribbles_completed_pct,sca_per90,team_cont
Takefusa Kubo,21,1.0,Japan,FW,1.0,0.0,Real Sociedad,0.0,54.5,,1.0,Asia
Takuma Asano,28,1.8,Japan,FW,0.0,0.5555555555555556,Bochum,0.55,75.0,0.0,2.0,Asia
Takumi Minamino,27,0.7,Japan,FW,0.5,0.0,Monaco,0.0,63.6,,3.0,Asia
Thomas Müller,33,2.2,Germany,FW,1.0,0.45454545454545453,Bayern Munich,0.0,71.8,,4.5,Europe
Thorgan Hazard,29,1.2,Belgium,FW,0.6666666666666666,0.0,Dortmund,0.0,69.0,0.0,7.64,Europe
Timothy Weah,22,3.5,United States,FW,0.0,0.0,Lille,0.28,83.3,100.0,1.99,North America
Uriel Antuna,25,0.9,Mexico,FW,0.75,0.0,Cruz Azul,0.0,60.0,0.0,1.17,North America
Vincent Aboubakar,30,1.6,Cameroon,FW,0.0,0.0,Al-Nassr,1.9,64.5,71.4,4.44,Africa
Vincent Janssen,28,1.0,Netherlands,FW,0.0,0.0,Antwerp,0.0,80.0,100.0,3.14,Europe
Vinicius Júnior,22,3.3,Brazil,FW,0.3333333333333333,0.0,Real Madrid,0.9,75.6,33.3,4.82,South America
Wahbi Khazri,31,0.9,Tunisia,FW,0.0,0.0,Montpellier,1.08,65.0,0.0,0.0,Africa
Walid Cheddira,24,0.7,Morocco,FW,0.0,0.0,Bari,0.0,50.0,0.0,0.0,Africa
Wout Weghorst,30,0.7,Netherlands,FW,0.0,0.0,Beşiktaş,2.81,60.0,,5.45,Europe
Xherdan Shaqiri,31,2.5,Switzerland,FW,0.0,0.0,Chicago Fire,0.79,64.4,0.0,2.36,Europe
Yannick Carrasco,29,1.3,Belgium,FW,0.8,0.7692307692307692,Atlético Madrid,0.0,84.8,33.3,3.1,Europe
Youssef En-Nesyri,25,6.0,Morocco,FW,0.6666666666666666,0.16666666666666666,Sevilla,0.33,61.7,62.5,0.5,Africa
Yuki Soma,25,0.9,Japan,FW,0.0,0.0,Grampus,0.0,57.9,50.0,0.0,Asia
Zakaria Aboukhlal,22,0.9,Morocco,FW,1.0,1.1111111111111112,Toulouse,1.14,50.0,0.0,1.17,Africa
Álvaro Morata,30,2.1,Spain,FW,1.0,0.0,Atlético Madrid,1.95,68.3,33.3,2.32,Europe
