player,age,minutes_90s,team,position,tackles_interceptions,club,goals_assists_per90,passes_pct,sca_per90,dribbles_completed_pct,shots_on_target_pct,team_cont
Bruno Guimarães,25,0.8,Brazil,MF,0.0,Newcastle Utd,0.0,79.6,1.3,100.0,40.0,South America
Carlos Soler,25,1.0,Spain,MF,0.0,Paris S-G,0.98,94.0,5.81,50.0,25.0,Europe
Casemiro,30,4.3,Brazil,MF,4.186046511627907,Manchester Utd,0.23,82.9,2.25,33.3,33.3,South America
Celso Borges,34,2.8,Costa Rica,MF,3.2142857142857144,Liga Deportiva Alajuelense,0.0,81.7,0.36,100.0,,North America
Cheikhou Kouyaté,32,0.8,Senegal,MF,2.5,Nott'ham Forest,0.0,82.6,2.5,100.0,,Africa
Christian Eriksen,30,3.0,Denmark,MF,0.3333333333333333,Manchester Utd,0.0,81.7,3.33,0.0,25.0,Europe
Craig Goodwin,31,2.6,Australia,MF,1.5384615384615383,Adelaide,0.77,61.1,1.92,,50.0,Oceania
Davy Klaassen,29,2.1,Netherlands,MF,1.9047619047619047,Ajax,1.42,76.6,3.32,0.0,50.0,Europe
Declan Rice,23,4.6,England,MF,3.695652173913044,West Ham,0.0,93.2,1.29,0.0,,Europe
Denis Zakaria,26,0.7,Switzerland,MF,4.285714285714286,Chelsea,0.0,87.0,1.53,0.0,0.0,Europe
Djibril Sow,25,2.9,Switzerland,MF,1.3793103448275863,Eint Frankfurt,0.34,86.6,1.7,0.0,0.0,Europe
Dries Mertens,35,0.8,Belgium,MF,2.5,Galatasaray,0.0,66.7,5.92,100.0,33.3,Europe
Dušan Tadić,34,2.9,Serbia,MF,1.7241379310344829,Ajax,0.7,70.9,4.9,50.0,0.0,Europe
Eden Hazard,31,1.4,Belgium,MF,0.7142857142857143,Real Madrid,0.0,79.3,3.63,50.0,100.0,Europe
Edson Álvarez,25,1.9,Mexico,MF,3.68421052631579,Ajax,0.0,75.4,2.06,100.0,100.0,North America
Ehsan Hajsafi,32,2.6,IR Iran,MF,3.0769230769230766,AEK Athens,0.0,62.2,1.14,0.0,0.0,Asia
Ellyes Skhiri,27,3.0,Tunisia,MF,5.666666666666667,Köln,0.0,85.8,1.67,33.3,0.0,Africa
Enzo Fernández,21,6.3,Argentina,MF,3.9682539682539684,Benfica,0.32,87.5,3.04,50.0,37.5,South America
Ethan Ampadu,22,2.8,Wales,MF,2.857142857142857,Spezia,0.0,75.0,1.41,66.7,0.0,Europe
Exequiel Palacios,24,0.6,Argentina,MF,3.3333333333333335,Leverkusen,0.0,89.3,5.4,0.0,0.0,South America
Fabinho,29,1.0,Brazil,MF,4.0,Liverpool,0.0,89.5,4.0,,,South America
Facundo Pellistri,20,2.0,Uruguay,MF,1.0,Manchester Utd,0.0,69.6,1.49,0.0,0.0,South America
Federico Valverde,24,3.0,Uruguay,MF,4.0,Real Madrid,0.0,84.1,4.67,25.0,14.3,South America
Firas Al-Buraikan,22,3.0,Saudi Arabia,MF,1.6666666666666667,Al-Fateh,0.34,66.7,0.67,14.3,0.0,Asia
Fred,29,1.6,Brazil,MF,1.875,Manchester Utd,0.0,85.5,3.54,,33.3,South America
Frenkie de Jong,25,5.3,Netherlands,MF,3.3962264150943398,Barcelona,0.38,88.7,1.82,50.0,50.0,Europe
Gavi,18,3.2,Spain,MF,2.8125,Barcelona,0.32,86.4,1.58,42.9,100.0,Europe
Gerson Torres,25,0.7,Costa Rica,MF,0.0,Club Sport Herediano,0.0,100.0,2.81,0.0,0.0,North America
Giorgian De Arrascaeta,28,1.2,Uruguay,MF,4.166666666666667,Flamengo,1.67,61.5,3.33,0.0,100.0,South America
Gonzalo Plata,22,3.0,Ecuador,MF,1.6666666666666667,Valladolid,0.0,74.0,1.0,33.3,50.0,South America
Granit Xhaka,30,4.0,Switzerland,MF,2.0,Arsenal,0.0,88.5,1.5,50.0,50.0,Europe
Grzegorz Krychowiak,32,3.7,Poland,MF,3.7837837837837838,Al-Shabab,0.0,73.2,1.36,33.3,0.0,Europe
Guido Rodríguez,28,0.6,Argentina,MF,3.3333333333333335,Betis,0.0,84.4,0.0,,,South America
